publisher;type
Stadt Wien;ra
Stadt Linz;ra
Land Oberösterreich;ra
Land Salzburg;ra
Stadt Graz;ra
Stadt Klagenfurt;ra
Land Kärnten;ra
Land Tirol;ra
Land Niederösterreich;ra
Land Vorarlberg;ra
Land Steiermark;ra
Gemeinde Engerwitzdorf;ra
Stadt Innsbruck;ra
Stadt Salzburg;ra
Cooperation OGD Österreich ;ra
Gemeinde Kremsmünster ;ra
Stadt Wolfsberg ;ra
Stadt Vöcklabruck ;ra
regionalentwicklung.at ;ra
Statistik Austria;si
Parlament;si
Sozialministerium;si
Umweltbundesamt GmbH;si
ZAMG;si
Wirtschaftskammer Österreich;si
BKA;si
BEV;si
Institute for Information Business at Vienna University of Economics and Business;si
Universitätsbibliothek;si
Österreichische Lotterien Ges.m.b.H. ;si
KDZ - Zentrum für Verwaltungsforschung ;si
mumok | museum moderner kunst stiftung ludwig wien ;si
Geoland.at ;si
BMVIT ;si
Geologische Bundesanstalt ;si
Wien-Ticket.AT ;si
BMEIA ;si
BMI ;si
Rechnungshof ;si
Österreichische Akademie der Wissenschaften (ÖAW) ;si
Österreichische Post Aktiengesellschaft ;si
BMF ;si
BMWFW ;si
Österreichische Mediathek / Technisches Museum Wien ;si
Wirtschaftsförderungsinstitut der Wirtschaftskammer Österreich ;si
AGES ;si
HexaPlant;pi
Computerwelt, CW Fachverlag GmbH ;pi
Greenpeace in Zentral- und Osteuropa ;pi
BRAU UNION ÖSTERREICH AG ;pi
HP Enterprise Business Hewlett Packard ;pi
Semantic Web Company (SWC) ;pi
IBM Österreich ;pi
NEOS – Das Neue Österreich und Liberales Forum ;pi
Klub der Köche Kärnten ;pi
RTR GmbH ;pi
Purkersdorfer Jagdklub ;pi
open3.at ;pi
Arbeitsgemeinschaft für Datenverarbeitung (ADV) ;pi
UbiGo KG ;pi
A-Trust ;pi
zoomsquare GmbH ;pi
HPC Dual ;pi
Das Lastenrad ;pi
School of Data Austria ;pi
Die Grünen ;pi
